Price,TransferDate,PostCode,PropType,Age,Duration
379000,43838,E14 7YX,Flat,NewBuild,Leasehold
600000,43838,NW9 0FR,Terraced,NewBuild,Leasehold
435000,43861,UB8 1SB,Flat,NewBuild,Leasehold
590000,43853,E3 2XF,Flat,NewBuild,Leasehold
590000,43857,E3 2XF,Flat,NewBuild,Leasehold
501000,43861,E14 7YX,Flat,NewBuild,Leasehold
370000,43846,E14 7YX,Flat,NewBuild,Leasehold
430000,43850,W5 2HT,Flat,NewBuild,Leasehold
535000,43847,E14 7YX,Flat,NewBuild,Leasehold
401000,43854,E14 7YX,Flat,NewBuild,Leasehold
179375,43833,E3 3XL,Flat,NewBuild,Leasehold
500000,43845,E14 7YX,Flat,NewBuild,Leasehold
492000,43859,E14 7YX,Flat,NewBuild,Leasehold
500000,43847,E14 7YX,Flat,NewBuild,Leasehold
600000,43839,NW9 0FR,Terraced,NewBuild,Leasehold
500000,43846,E14 7YX,Flat,NewBuild,Leasehold
369000,43851,N3 3LD,Flat,PreOwned,Leasehold
280000,43850,TW4 5AH,Flat,PreOwned,Leasehold
360000,43833,UB10 0RL,Terraced,PreOwned,Freehold
375000,43847,TW7 7DE,Flat,PreOwned,Leasehold
417000,43851,E14 7UP,Flat,NewBuild,Leasehold
492100,43846,E14 0TW,Flat,NewBuild,Leasehold
452000,43847,W9 2PA,Flat,PreOwned,Leasehold
874000,43861,EC1V 2AD,Flat,NewBuild,Leasehold
998400,43860,WC2A 2AT,Flat,NewBuild,Leasehold
356000,43847,N19 4RB,Flat,PreOwned,Leasehold
374000,43854,N17 6YJ,Flat,PreOwned,Leasehold
625000,43845,W6 9QF,Flat,PreOwned,Leasehold
945000,43847,E1 8SQ,Flat,NewBuild,Leasehold
387300,43861,CR0 0BG,Terraced,PreOwned,Freehold
